age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,coded-income,tax-bracket,income-90k-threshold
35,Self-emp-not-inc,177836,Some-college,10,Married-civ-spouse,Production,Wife,White,Female,5,Columbia,7,2,<=90k
60,Self-emp-inc,123596,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,38,4,>90k
54,Private,126666,HS-grad,9,Married-civ-spouse,Production,Husband,White,Male,40,United-States,21,3,<=90k
80,Private,122028,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,19,3,<=90k
65,Private,118034,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,33,3,<=90k
52,State-gov,124457,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,42,United-States,25,3,<=90k
24,Private,153960,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,35,United-States,7,2,<=90k
53,Private,126975,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,25,United-States,22,3,<=90k
30,Private,231166,Bachelors,13,Never-married,Other-service,Unmarried,White,Female,60,United-States,19,3,<=90k
30,Private,183514,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,40,United-States,5,2,<=90k
28,Private,208869,Some-college,10,Married-civ-spouse,Construction,Husband,White,Male,45,United-States,41,4,>90k
77,Self-emp-inc,139955,Prof-school,15,Married-spouse-absent,Sales,Not-in-family,White,Male,40,United-States,41,4,>90k
38,Private,149873,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,23,3,<=90k
40,Private,148771,Some-college,10,Never-married,Prof-specialty,Unmarried,White,Female,40,United-States,13,2,<=90k
18,Private,137503,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,5,2,<=90k
48,Private,129908,HS-grad,9,Divorced,Construction,Not-in-family,White,Male,40,United-States,6,2,<=90k
41,Private,166651,HS-grad,9,Never-married,Construction,Not-in-family,White,Male,40,United-States,11,2,<=90k
71,Private,99916,Assoc-voc,11,Divorced,Transport-moving,Not-in-family,White,Female,40,United-States,11,2,<=90k
45,Self-emp-not-inc,113806,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,30,United-States,13,2,<=90k
58,Private,108680,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,25,United-States,10,2,<=90k
43,Local-gov,170959,Some-college,10,Married-civ-spouse,Transport-moving,Wife,White,Female,40,United-States,17,2,<=90k
22,Local-gov,153960,Some-college,10,Never-married,Other-service,Own-child,White,Male,40,United-States,13,2,<=90k
63,Self-emp-not-inc,185888,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,2,1,<=90k
46,Private,113806,HS-grad,9,Separated,Other-service,Unmarried,White,Female,55,United-States,12,2,<=90k
56,Private,112720,HS-grad,9,Never-married,Production,Unmarried,White,Female,40,United-States,9,2,<=90k
64,Private,107288,Assoc-voc,11,Never-married,Adm-clerical,Other-relative,White,Female,40,United-States,13,2,<=90k
61,Private,128191,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,14,2,<=90k
28,Private,157763,HS-grad,9,Never-married,Sales,Own-child,White,Male,30,United-States,11,2,<=90k
64,Private,153417,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,39,United-States,21,3,<=90k
50,State-gov,136143,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Male,40,United-States,35,3,<=90k
42,State-gov,136938,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,15,2,<=90k
37,State-gov,231335,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,15,2,<=90k
64,Private,107288,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,40,United-States,11,2,<=90k
49,Private,177676,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,17,2,<=90k
49,Private,173989,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,15,2,<=90k
24,Private,192856,Some-college,10,Never-married,Craft-repair,Other-relative,White,Male,40,United-States,21,3,<=90k
25,Private,200025,HS-grad,9,Never-married,Sales,Other-relative,White,Male,30,United-States,4,1,<=90k
60,Local-gov,180919,Doctorate,16,Married-civ-spouse,Adm-clerical,Wife,White,Female,38,United-States,18,3,<=90k
26,State-gov,132966,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,40,United-States,16,2,<=90k
28,Private,183798,Assoc-voc,11,Never-married,Production,Not-in-family,White,Male,50,United-States,9,2,<=90k
24,Private,159683,Assoc-acdm,12,Never-married,Production,Not-in-family,White,Male,40,United-States,23,3,<=90k
22,Private,198960,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,42,United-States,12,2,<=90k
59,State-gov,134812,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,31,3,<=90k
31,Private,162223,HS-grad,9,Never-married,Production,Not-in-family,White,Male,50,United-States,24,3,<=90k
32,Private,161781,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,15,2,<=90k
39,Private,147125,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Own-child,White,Female,25,United-States,8,2,<=90k
29,Private,208857,HS-grad,9,Never-married,Construction,Unmarried,White,Male,50,United-States,9,2,<=90k
29,Private,175763,HS-grad,9,Never-married,Production,Not-in-family,White,Female,36,United-States,6,2,<=90k
60,Private,128191,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,United-States,41,4,>90k
25,State-gov,191393,Some-college,10,Never-married,Other-service,Unmarried,White,Female,36,United-States,18,3,<=90k
34,Private,148059,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,78,United-States,14,2,<=90k
59,Local-gov,189736,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,26,3,<=90k
63,Private,189038,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,41,4,>90k
54,Private,240282,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,12,2,<=90k
25,Private,200037,Some-college,10,Never-married,Construction,Not-in-family,White,Male,40,United-States,12,2,<=90k
24,Private,219907,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,30,United-States,12,2,<=90k
44,Private,142037,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,40,United-States,9,2,<=90k
55,Local-gov,170060,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,27,United-States,8,2,<=90k
77,Local-gov,121564,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,42,United-States,22,3,<=90k
38,Private,137538,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,13,2,<=90k
51,Private,151834,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,20,United-States,16,2,<=90k
48,Private,171318,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,50,United-States,34,3,<=90k
60,Local-gov,114840,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,21,3,<=90k
51,Local-gov,112954,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,21,3,<=90k
41,State-gov,136946,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,25,3,<=90k
58,Federal-gov,131382,Some-college,10,Never-married,Production,Not-in-family,White,Male,40,United-States,29,3,<=90k
31,Private,149684,Bachelors,13,Never-married,Other-service,Unmarried,White,Female,35,United-States,14,2,<=90k
28,Private,191404,Some-college,10,Married-civ-spouse,Production,Wife,White,Female,40,United-States,11,2,<=90k
28,Private,201383,Some-college,10,Never-married,Other-service,Unmarried,White,Male,40,United-States,19,3,<=90k
31,Private,144320,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,36,United-States,27,3,<=90k
54,State-gov,136151,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,45,United-States,17,2,<=90k
43,Self-emp-inc,161880,HS-grad,9,Never-married,Sales,Unmarried,White,Male,50,United-States,41,4,>90k
37,Private,179293,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,40,United-States,28,3,<=90k
54,Private,173848,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,19,3,<=90k
56,Self-emp-inc,172083,HS-grad,9,Married-civ-spouse,Construction,Husband,White,Male,70,United-States,7,2,<=90k
23,Private,173742,Some-college,10,Never-married,Construction,Own-child,White,Male,60,United-States,25,3,<=90k
53,Private,112954,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,24,3,<=90k
53,State-gov,122431,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,18,3,<=90k
59,Private,108686,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,25,United-States,7,2,<=90k
22,Private,173742,Bachelors,13,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,8,2,<=90k
56,Private,131382,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,Canada,41,4,>90k
38,Private,142650,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,13,2,<=90k
21,Private,198971,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,17,2,<=90k
27,Private,157772,Assoc-acdm,12,Never-married,Production,Not-in-family,White,Male,40,United-States,13,2,<=90k
35,Private,155051,Assoc-acdm,12,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,19,3,<=90k
37,Private,147133,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,38,United-States,10,2,<=90k
65,Private,179994,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,20,United-States,5,2,<=90k
67,Self-emp-not-inc,121311,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,United-States,41,4,>90k
36,State-gov,134253,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,55,United-States,23,3,<=90k
27,State-gov,209414,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,55,United-States,17,2,<=90k
69,Private,101616,Masters,14,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,9,2,<=90k
51,State-gov,146310,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,19,3,<=90k
22,Private,161420,Some-college,10,Never-married,Production,Own-child,White,Male,50,United-States,21,3,<=90k
78,Private,121913,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,26,United-States,22,3,<=90k
43,Private,166484,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,41,4,>90k
74,Self-emp-not-inc,176717,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,United-States,41,4,>90k
65,Federal-gov,109670,Doctorate,16,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,13,2,<=90k
45,Self-emp-not-inc,118533,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,17,2,<=90k
22,Private,194106,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,11,2,<=90k
46,Private,105740,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,40,United-States,12,2,<=90k
18,Private,168560,11th,7,Never-married,Other-service,Own-child,White,Female,35,United-States,4,1,<=90k
56,Private,120769,Assoc-voc,11,Divorced,Construction,Not-in-family,White,Male,40,United-States,24,3,<=90k
46,Private,159168,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,17,2,<=90k
25,State-gov,253496,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,24,3,<=90k
32,Private,170509,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,30,United-States,8,2,<=90k
28,Private,185850,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,18,3,<=90k
48,Private,118533,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,25,United-States,7,2,<=90k
74,Self-emp-not-inc,92830,Some-college,10,Widowed,Prof-specialty,Unmarried,White,Female,20,United-States,7,2,<=90k
49,Self-emp-inc,120695,Assoc-voc,11,Divorced,Exec-managerial,Own-child,White,Male,35,United-States,4,1,<=90k
50,State-gov,155729,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,25,3,<=90k
64,Private,137436,Some-college,10,Married-civ-spouse,Production,Husband,White,Male,40,United-States,25,3,<=90k
39,Private,181013,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,40,United-States,23,3,<=90k
39,Private,239708,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,17,2,<=90k
42,Federal-gov,226410,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,41,4,>90k
46,Private,161659,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,16,2,<=90k
17,Private,199147,11th,7,Never-married,Other-service,Own-child,White,Female,10,United-States,3,1,<=90k
56,Private,125259,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,7,2,<=90k
59,Private,111830,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,60,United-States,28,3,<=90k
64,Private,142544,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,20,United-States,12,2,<=90k
45,Local-gov,128753,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,29,3,<=90k
37,Private,239708,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,15,2,<=90k
34,State-gov,230948,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,52,United-States,15,2,<=90k
39,Private,181013,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,50,United-States,30,3,<=90k
26,Private,253496,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,25,3,<=90k
27,Private,253496,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,36,United-States,26,3,<=90k
30,Private,170509,Some-college,10,Never-married,Sales,Not-in-family,White,Male,45,United-States,24,3,<=90k
56,Private,108577,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,30,United-States,10,2,<=90k
78,Private,109427,HS-grad,9,Married-civ-spouse,Construction,Husband,White,Male,24,United-States,25,3,<=90k
32,Private,142680,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,50,United-States,21,3,<=90k
55,Private,204048,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,41,4,>90k
29,Private,244410,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,White,Female,32,United-States,25,3,<=90k
33,Private,149534,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,15,United-States,2,1,<=90k
45,Private,143589,Assoc-acdm,12,Divorced,Production,Not-in-family,White,Male,40,United-States,15,2,<=90k
26,Private,244410,Assoc-voc,11,Never-married,Prof-specialty,Own-child,White,Female,32,United-States,25,3,<=90k
50,Private,113748,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,16,2,<=90k
27,Private,187101,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Male,40,United-States,15,2,<=90k
77,Private,108895,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,18,United-States,9,2,<=90k
54,Private,136015,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,15,2,<=90k
25,Private,198320,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,35,United-States,1,1,<=90k
63,Private,100849,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,20,3,<=90k
45,Private,118533,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,40,United-States,33,3,<=90k
65,Private,109264,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,45,United-States,23,3,<=90k
40,Private,166484,HS-grad,9,Never-married,Production,Not-in-family,White,Male,40,United-States,21,3,<=90k
80,Self-emp-not-inc,139815,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,8,United-States,36,4,<=90k
56,Self-emp-not-inc,107822,Some-college,10,Widowed,Other-service,Unmarried,White,Female,40,United-States,8,2,<=90k
31,Private,168095,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,24,3,<=90k
56,Private,163872,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,19,3,<=90k
43,Private,149283,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,38,4,>90k
64,Self-emp-inc,96112,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,20,United-States,5,2,<=90k
52,Self-emp-inc,223240,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,23,3,<=90k
62,Private,105791,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,65,United-States,41,4,>90k
60,Private,230297,Bachelors,13,Divorced,Transport-moving,Not-in-family,White,Male,36,Ecuador,18,3,<=90k
52,Private,215239,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,35,United-States,14,2,<=90k
59,Private,176280,Bachelors,13,Divorced,Other-service,Not-in-family,White,Female,40,United-States,33,3,<=90k
30,Local-gov,162070,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,21,3,<=90k
30,Private,144175,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,41,4,>90k
59,Private,100245,HS-grad,9,Divorced,Other-service,Own-child,Black,Female,60,Sudan,13,2,<=90k
40,Private,193537,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,25,United-States,9,2,<=90k
47,Private,117925,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,27,3,<=90k
80,Local-gov,114460,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,41,4,>90k
27,Private,296487,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,50,United-States,24,3,<=90k
79,Private,174932,Masters,14,Divorced,Other-service,Not-in-family,White,Female,20,United-States,17,2,<=90k
46,Private,118533,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,Canada,41,4,>90k
31,Private,150727,Assoc-voc,11,Divorced,Prof-specialty,Other-relative,White,Male,40,Poland,17,2,<=90k
60,Private,106696,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,13,2,<=90k
37,Private,230605,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,45,Vietnam,23,3,<=90k
38,Local-gov,141718,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,United-States,29,3,<=90k
55,Private,130130,Masters,14,Never-married,Prof-specialty,Not-in-family,Other,Female,20,United-States,41,4,>90k
29,Self-emp-not-inc,147919,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,30,United-States,25,3,<=90k
33,Local-gov,144175,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,24,3,<=90k
25,Private,169303,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,15,2,<=90k
37,Private,149345,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,33,3,<=90k
28,Private,185938,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,29,3,<=90k
69,Local-gov,262662,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Other,Male,40,Uganda,25,3,<=90k
44,Private,158844,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,8,2,<=90k
46,Private,120695,11th,7,Never-married,Construction,Not-in-family,White,Male,20,United-States,4,1,<=90k
45,Self-emp-not-inc,120695,Assoc-acdm,12,Divorced,Other-service,Unmarried,White,Male,60,United-States,25,3,<=90k
18,Private,127751,Some-college,10,Never-married,Other-service,Own-child,White,Male,15,United-States,21,3,<=90k
17,Private,168560,11th,7,Never-married,Other-service,Own-child,White,Female,15,United-States,5,2,<=90k
17,Private,168560,10th,6,Never-married,Other-service,Own-child,White,Female,15,United-States,5,2,<=90k
40,Private,158844,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,17,2,<=90k
66,Local-gov,151358,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,15,United-States,18,3,<=90k
49,Self-emp-not-inc,133539,Bachelors,13,Married-spouse-absent,Exec-managerial,Unmarried,White,Male,40,United-States,16,2,<=90k
40,Private,131963,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,25,United-States,9,2,<=90k
59,Self-emp-inc,108577,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,20,3,<=90k
69,Private,109264,Assoc-voc,11,Widowed,Transport-moving,Not-in-family,White,Female,16,United-States,26,3,<=90k
37,Private,134253,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,33,3,<=90k
58,State-gov,118878,Masters,14,Widowed,Exec-managerial,Not-in-family,White,Female,40,Chile,23,3,<=90k
35,Private,197043,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,65,United-States,41,4,>90k
72,Private,146646,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,18,United-States,41,4,>90k
59,State-gov,154148,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,25,3,<=90k
59,Local-gov,157999,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,50,United-States,41,4,>90k
61,State-gov,114725,Prof-school,15,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,41,4,>90k
61,Private,110662,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,17,2,<=90k
27,Private,240096,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,15,2,<=90k
47,Self-emp-not-inc,132191,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,45,United-States,24,3,<=90k
35,Self-emp-not-inc,166577,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,White,Female,50,United-States,19,3,<=90k
49,Self-emp-not-inc,133539,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,35,United-States,9,2,<=90k
26,Private,198320,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,30,United-States,26,3,<=90k
24,Private,198772,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,25,3,<=90k
55,Private,104003,10th,6,Married-spouse-absent,Other-service,Unmarried,White,Female,42,United-States,7,2,<=90k
20,Private,201322,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,10,United-States,4,1,<=90k
80,Self-emp-not-inc,109427,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Male,25,United-States,35,3,<=90k
34,Private,147919,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,41,4,>90k
67,Private,101616,HS-grad,9,Divorced,Production,Not-in-family,White,Female,24,United-States,41,4,>90k
51,Private,223240,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,39,4,>90k
20,Private,204311,HS-grad,9,Never-married,Construction,Own-child,White,Male,40,United-States,4,1,<=90k
62,Private,102044,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,13,2,<=90k
32,Private,142680,Some-college,10,Married-civ-spouse,Craft-repair,Own-child,White,Male,40,United-States,12,2,<=90k
33,Private,230948,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,40,United-States,15,2,<=90k
36,Private,181013,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,21,3,<=90k
37,Private,136698,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,39,4,>90k
22,Private,147084,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Female,40,Uganda,15,2,<=90k
21,Private,147084,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Female,40,Uganda,15,2,<=90k
21,Private,147084,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Female,40,Uganda,15,2,<=90k
19,Private,163407,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Female,40,Uganda,15,2,<=90k
58,Federal-gov,104003,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,42,United-States,25,3,<=90k
27,Federal-gov,194056,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,15,2,<=90k
66,Self-emp-not-inc,140977,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,41,4,>90k
53,Private,131197,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,41,4,>90k
